Date,Timestamp,,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (kph),Distance (km),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/km)
2021-05-06,19:44,-04),45,Cycling,Music,45 min Hip Hop Ride,2021-05-03 13:25 (-04),371,137,45%,76,29.21,21.9,703,159,,
2021-05-08,16:50,-04),30,Cycling,Music,30 min House Ride,2021-05-07 11:24 (-04),257,143,46%,76,29.95,14.98,431,150.99,,
2021-05-08,17:23,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2020-12-16 10:00 (-04),,,,,,,56,131.57,,
2021-05-09,15:04,-04),45,Cycling,Theme,45 min Sweat Steady Ride,2021-05-08 10:22 (-04),366,135,44%,78,29.31,21.98,708,159.89,,
2021-05-11,18:32,-04),30,Cycling,Theme,30 min AT's Ride to Greatness,2021-05-08 13:20 (-04),265,147,45%,79,30.26,15.13,439,149.94,,
2021-05-12,18:39,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-05-06 09:00 (-04),34,112,36%,88,27,2.25,46,,,
2021-05-12,18:46,-04),20,Cycling,Music,20 min EDM Ride,2021-05-05 11:59 (-04),162,135,45%,76,29.19,9.74,224,,,
2021-05-12,19:07,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-05-12 01:35 (-04),25,83,37%,73,23.96,2,34,,,
2021-05-12,19:13,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-12 01:40 (-04),,,,,,,15,,,
2021-05-13,18:10,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-05-07 01:00 (-04),32,107,34%,94,26.68,2.22,47,119.95,,
2021-05-13,18:15,-04),45,Cycling,Theme,45 min Club Bangers Ride,2021-05-10 19:22 (-04),327,121,43%,77,27.99,21,652,151.8,,
2021-05-13,19:03,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-13 10:10 (-04),,,,,,,46,117.93,,
2021-05-15,18:40,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-04-25 01:00 (-04),37,125,38%,88,28.32,2.35,50,120.57,,
2021-05-15,18:45,-04),30,Cycling,Theme,30 min Sweat Steady Ride,2021-05-15 10:24 (-04),260,145,45%,77,30.16,15.1,451,155.29,,
2021-05-15,19:17,-04),15,Cycling,Music,15 min Pop Ride,2021-05-15 11:10 (-04),122,135,43%,80,29.05,7.27,234,159.11,,
2021-05-15,19:34,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-14 09:00 (-04),,,,,,,55,129.71,,
2021-05-16,16:56,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-04-26 09:00 (-04),29,96,34%,88,25.51,2.12,42,112.9,,
2021-05-16,17:01,-04),45,Cycling,Music,45 min EDM Ride,2021-03-06 07:55 (-04),383,142,46%,74,29.64,22.24,660,153.08,,
2021-05-19,17:45,-04),20,Cycling,Music,20 min Hip Hop Ride,2021-05-19 11:24 (-04),178,148,44%,81,30.18,10.07,248,120.2,,
2021-05-19,18:06,-04),20,Cycling,Music,20 min House Ride,2021-05-19 11:59 (-04),163,136,46%,75,29.29,9.77,268,144.91,,
2021-05-19,18:28,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-10 09:00 (-04),,,,,,,44,116.02,,
2021-05-22,17:29,-04),5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Warm Up,2021-05-22 10:00 (-04),39,87,37%,53,20.13,2.4,63,129.7,,
2021-05-22,17:34,-04),45,Cycling,Music,45 min EDM Ride,2021-05-22 10:23 (-04),318,118,42%,77,27.36,20.52,657,152.56,,
2021-05-22,18:20,-04),5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Cool Down,2021-05-22 10:00 (-04),26,87,42%,67,24.38,2.03,63,140.18,,
2021-05-22,18:27,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-20 01:35 (-04),,,,,,,50,123.9,,
2021-05-23,18:11,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-02-07 15:03 (-04),31,102,36%,86,26.15,2.17,45,116.96,,
2021-05-23,18:16,-04),30,Cycling,Music,30 min Hip Hop Ride,2021-05-17 19:22 (-04),241,134,43%,82,29.03,14.53,403,145.17,,
2021-05-23,18:46,-04),10,Cycling,Warm Up/Cool Down,10 min Cool Down Ride,2021-01-30 15:05 (-04),60,100,43%,69,25.85,4.31,123,137.47,,
2021-05-24,16:45,-04),60,Cycling,Theme,60 min Feel Good Ride,2021-05-23 11:50 (-04),489,136,43%,82,29.24,29.24,870,151.97,,
2021-05-24,17:47,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-05-20 01:25 (-04),21,69,35%,70,19.91,1.66,52,126.79,,
2021-05-24,17:54,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-21 09:00 (-04),,,,,,,15,,,
2021-05-28,19:55,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-05-24 01:00 (-04),35,116,34%,94,27.21,2.27,48,36.31,,
2021-05-28,20:00,-04),20,Cycling,Music,20 min EDM Trap Ride,2021-05-24 17:00 (-04),166,138,44%,79,29.42,9.82,307,157.23,,
2021-05-29,15:54,-04),30,Cycling,Theme,30 min Club Bangers Ride,2021-05-24 19:21 (-04),226,125,41%,81,28.36,14.19,430,147.47,,
2021-05-29,16:26,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-05-26 09:00 (-04),,,,,,,48,121.44,,
2021-05-31,17:47,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-04-22 09:00 (-04),35,106,38%,80,26.33,2.3,49,71.77,,
2021-05-31,17:52,-04),20,Cycling,Music,20 min Hip Hop Ride,2021-05-21 17:34 (-04),174,145,44%,81,29.98,9.99,293,152.95,,
2021-05-31,18:13,-04),10,Cycling,Low Impact,10 min Low Impact Ride,2021-05-06 17:00 (-04),66,109,39%,80,26.59,4.44,132,143.21,,
2021-06-01,19:08,-04),30,Cycling,Music,30 min EDM Ride,2021-06-01 13:25 (-04),278,155,48%,75,30.71,15.35,438,144.42,,
2021-06-01,19:41,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-06-01 09:00 (-04),,,,,,,45,117.83,,
2021-06-03,20:20,-04),30,Cycling,Music,30 min EDM Ride,2021-06-02 11:25 (-04),281,156,43%,74,31,15.51,457,156.65,,
2021-06-06,19:05,-04),30,Cycling,Live DJ,30 min Live DJ Ride,2021-06-04 16:52 (-04),263,146,40%,77,30.18,15.1,433,151.21,,
2021-06-07,18:46,-04),45,Cycling,Music,45 min EDM Ride,2021-01-16 12:53 (-04),402,149,43%,70,30.29,22.72,700,157.66,,
2021-06-07,19:33,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post Ride Stretch,2021-06-04 04:15 (-04),,,,,,,53,126.86,,
2021-06-10,18:12,-04),45,Cycling,Theme,45 min Sweat Steady Ride,2021-06-05 10:24 (-04),387,143,42%,71,29.93,22.47,655,152.3,,
2021-06-12,18:29,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-06-09 01:00 (-04),43,143,32%,94,30.06,2.49,55,130.04,,
2021-06-12,18:34,-04),30,Cycling,Intervals,30 min Intervals Ride,2021-06-12 04:25 (-04),283,157,39%,80,31.09,15.55,448,154.86,,
2021-06-12,19:05,-04),5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Cool Down,2021-06-12 13:54 (-04),36,119,39%,72,27.99,2.33,74,153.29,,
2021-06-14,21:02,-04),5,Cycling,Warm Up/Cool Down,5 min AT's Ride to Greatness: Warm Up,2021-06-12 10:00 (-04),43,143,34%,89,30.01,2.49,62,113.67,,
2021-06-14,21:07,-04),30,Cycling,Music,30 min Drum & Bass Ride,2021-06-14 13:25 (-04),271,151,39%,78,30.46,15.24,466,158.52,,
2021-06-14,21:39,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-05-25 09:00 (-04),30,100,40%,61,25.96,2.16,60,135.79,,
2021-06-19,16:25,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-06-16 01:00 (-04),39,131,33%,86,29.02,2.41,50,123.45,,
2021-06-19,16:31,-04),30,Cycling,Theme,30 min Feel Good Ride,2021-06-13 11:52 (-04),253,141,43%,68,29.76,14.89,423,149.4,,
2021-06-20,18:12,-04),30,Cycling,Theme,30 min Father's Day Ride,2021-06-20 07:55 (-04),266,148,43%,71,30.32,15.18,462,157.68,,
2021-06-20,18:43,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-04-06 01:35 (-04),29,97,36%,69,25.73,2.14,63,139.77,,
2021-06-22,17:20,-04),30,Cycling,Music,30 min EDM Ride,2021-06-21 10:30 (-04),276,153,43%,71,30.75,15.39,436,152.19,,
2021-06-26,15:01,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-06-10 00:55 (-04),38,99,27%,85,25.03,2.38,61,127.01,,
2021-06-26,15:06,-04),30,Cycling,Theme,30 min The Jess King Experience,2021-01-14 20:47 (-04),250,139,45%,64,29.37,14.69,484,162.39,,
2021-06-26,15:37,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-12-30 10:00 (-04),29,97,31%,80,25.3,2.11,68,146.53,,
2021-06-27,12:22,-04),45,Cycling,Theme,45 min Sweat Steady Ride,2021-06-26 10:23 (-04),355,132,41%,70,28.95,21.71,723,161.97,,
2021-06-27,13:11,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-06-21 01:35 (-04),,,,,,,59,135.33,,
2021-06-28,20:45,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-06-08 11:55 (-04),38,116,30%,89,27.21,2.37,54,127.74,,
2021-06-28,20:50,-04),30,Cycling,Theme,30 min Club Bangers Ride,2021-06-26 13:22 (-04),267,148,38%,81,30.37,15.19,477,160.48,,
2021-06-28,21:20,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-06-23 09:00 (-04),33,109,35%,74,26.84,2.24,72,151.22,,
2021-06-30,18:22,-04),45,Cycling,Music,45 min Hip Hop Ride,2021-06-28 19:25 (-04),388,144,41%,72,29.92,22.45,666,153.45,,
2021-07-01,16:18,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-06-30 09:00 (-04),42,141,35%,83,29.77,2.46,56,117.61,,
2021-07-01,16:24,-04),30,Cycling,Music,30 min AFO Ride: Gorgon City,2021-07-01 12:00 (-04),241,134,39%,73,28.66,14.34,405,145.21,,
2021-07-01,16:54,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-06-30 09:00 (-04),34,115,37%,72,27.42,2.29,62,139.11,,
2021-07-04,20:37,-04),5,Cycling,Warm Up/Cool Down,5 min AFO Warm Up Ride: Imagine Dragons,2021-07-02 08:00 (-04),42,136,34%,85,29.06,2.45,52,124.42,,
2021-07-04,20:42,-04),30,Cycling,Music,30 min AFO Ride: Migos,2021-07-02 17:51 (-04),270,150,43%,71,30.51,15.26,455,155.79,,
2021-07-04,21:12,-04),10,Cycling,Warm Up/Cool Down,10 min AFO Cool Down Ride: Jessie Ware,2021-07-01 12:00 (-04),63,104,34%,75,26.12,4.36,135,145.16,,
2021-07-06,17:48,-04),10,Cycling,Warm Up/Cool Down,10 min AFO Warm Up Ride: Nas,2021-07-03 08:00 (-04),98,164,35%,92,31.66,5.28,138,147.13,,
2021-07-06,17:59,-04),15,Cycling,Music,15 min AFO Ride: Nas,2021-07-03 08:00 (-04),136,150,39%,79,30.43,7.61,234,158.57,,
2021-07-06,18:15,-04),5,Cycling,Warm Up/Cool Down,5 min AFO Cool Down Ride: Tina Turner,2021-07-03 08:00 (-04),30,100,37%,67,25.94,2.14,62,139.66,,
2021-07-10,17:57,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-07-09 09:00 (-04),36,122,33%,83,28.12,2.33,53,126.96,,
2021-07-10,18:02,-04),30,Cycling,Music,30 min EDM Ride,2021-07-09 08:55 (-04),249,138,42%,70,29.35,14.69,439,152.31,,
2021-07-10,18:34,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-07-09 17:15 (-04),24,79,29%,76,23.21,1.93,56,131.56,,
2021-07-12,19:12,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2021-07-08 09:00 (-04),35,114,32%,79,27.09,2.29,49,104.57,,
2021-07-12,19:18,-04),30,Cycling,Music,30 min House Ride,2021-07-07 11:22 (-04),271,150,40%,79,30.34,15.18,486,162.34,,
2021-07-12,19:48,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-07-09 09:00 (-04),27,91,38%,60,24.22,2.03,71,150.01,,
2021-07-12,19:55,-04),5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-07-08 09:00 (-04),,,,,,,58,134.12,,
2021-07-13,18:49,-04),30,Cycling,Music,30 min New Tracks Ride,2021-07-12 19:22 (-04),262,145,42%,71,29.87,14.93,412,146.64,,
2021-07-15,20:18,-04),5,Cycling,Warm Up/Cool Down,5 min Warm Up Ride,2020-11-14 15:30 (-04),40,133,31%,91,29.05,2.4,55,,,
2021-07-15,20:24,-04),30,Cycling,Music,30 min Hip Hop Ride,2021-07-13 17:00 (-04),258,143,41%,73,29.95,14.98,432,150.79,,
2021-07-22,18:31,-04),30,Cycling,Music,30 min AFO Ride: Major Lazer,2021-07-02 11:50 (-04),240,133,38%,75,28.98,14.5,418,143.74,,
2021-07-24,17:42,-04),45,Cycling,Music,45 min Hip Hop Ride,2021-07-19 19:21 (-04),370,137,42%,71,29.35,22.03,721,161.31,,
2021-07-25,16:42,-04),45,Cycling,Music,45 min Verzuz Ride,2021-07-21 19:24 (-04),357,132,40%,71,28.89,21.68,703,158.69,,
2021-07-27,16:46,-04),20,Cycling,Intervals,20 min Tabata Ride,2021-07-15 07:50 (-04),183,153,40%,75,30.01,10.01,302,153.37,,
2021-07-27,17:06,-04),10,Cycling,Low Impact,10 min Low Impact Ride,2021-06-21 20:09 (-04),65,108,34%,77,26.7,4.46,147,152.79,,
2021-07-27,17:16,-04),5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2021-07-09 17:15 (-04),25,82,29%,79,23.91,2,65,141.69,,
